,HKUST-1,Cu(BDC),Cu(BPDC),Cu(BDC)(dabco),Concentration,Type
1,0.236,0.46,0.164,0.264,200ppm,Methanol
2,0.231,0.45,0.18,0.252,200ppm,Methanol
3,0.234,0.448,0.176,0.253,200ppm,Methanol
4,0.232,0.448,0.171,0.264,200ppm,Methanol
5,0.221,0.45,0.179,0.257,200ppm,Ethanol
6,0.223,0.46,0.151,0.264,200ppm,1-Propanol
7,0.228,0.464,0.159,0.25,200ppm,1-Propanol
8,0.225,0.449,0.158,0.259,200ppm,1-Propanol
9,0.239,0.453,0.152,0.261,200ppm,1-Propanol
10,0.228,0.453,0.179,0.251,200ppm,1-Propanol
11,0.238,0.446,0.156,0.26,200ppm,1-Butanol
12,0.234,0.454,0.156,0.25,200ppm,1-Butanol
13,0.234,0.446,0.176,0.256,200ppm,1-Butanol
14,0.234,0.447,0.171,0.259,200ppm,Methanol
15,0.227,0.446,0.168,0.265,200ppm,Methanol
16,0.239,0.461,0.166,0.25,200ppm,Methanol
17,0.221,0.452,0.163,0.264,200ppm,Methanol
18,0.229,0.461,0.172,0.259,200ppm,Methanol
19,0.221,0.454,0.156,0.25,200ppm,Methanol
20,0.223,0.455,0.155,0.253,200ppm,Methanol
21,0.234,0.457,0.156,0.258,200ppm,Methanol
22,0.226,0.45,0.176,0.263,200ppm,Methanol
23,0.234,0.447,0.157,0.253,200ppm,Methanol
24,0.236,0.447,0.176,0.257,200ppm,Methanol
25,0.222,0.46,0.172,0.264,200ppm,Methanol
26,0.221,0.45,0.152,0.265,200ppm,Methanol
27,0.238,0.464,0.168,0.263,200ppm,Methanol
28,0.224,0.454,0.158,0.263,200ppm,Methanol
29,0.24,0.449,0.169,0.265,200ppm,Methanol
30,0.232,0.451,0.167,0.255,200ppm,Methanol
31,0.228,0.453,0.16,0.265,200ppm,Methanol
32,0.228,0.456,0.175,0.264,200ppm,Methanol
33,0.239,0.453,0.171,0.25,200ppm,Methanol
34,0.221,0.452,0.168,0.253,200ppm,Methanol
35,0.228,0.454,0.152,0.265,200ppm,Methanol
36,0.229,0.449,0.174,0.257,200ppm,Methanol
37,0.222,0.452,0.153,0.255,200ppm,Methanol
38,0.237,0.463,0.154,0.255,200ppm,Methanol
39,0.225,0.465,0.165,0.263,200ppm,Methanol
40,0.23,0.451,0.16,0.255,200ppm,Methanol
41,0.232,0.445,0.18,0.261,200ppm,Methanol
42,0.232,0.449,0.162,0.262,200ppm,Methanol
43,0.232,0.459,0.173,0.25,200ppm,Methanol
44,0.227,0.465,0.179,0.26,200ppm,Methanol
45,0.227,0.463,0.158,0.25,200ppm,Methanol
46,0.23,0.454,0.176,0.265,200ppm,Methanol
47,0.229,0.458,0.168,0.261,200ppm,Methanol
48,0.24,0.445,0.154,0.26,200ppm,Methanol
49,0.239,0.457,0.174,0.252,200ppm,Methanol
50,0.237,0.463,0.153,0.265,200ppm,Methanol
51,0.228,0.457,0.16,0.262,200ppm,Methanol
52,0.233,0.454,0.153,0.251,200ppm,Methanol
53,0.233,0.454,0.17,0.264,200ppm,Methanol
54,0.24,0.454,0.155,0.261,200ppm,Methanol
