,HKUST-1,Cu(BDC),Cu(BPDC),Cu(BDC)(dabco),Concentration,Type
1,0.433,0.839,0.363,0.551,400ppm,Methanol
2,0.427,0.835,0.357,0.542,400ppm,Methanol
3,0.432,0.845,0.363,0.545,400ppm,Methanol
4,0.425,0.85,0.359,0.544,400ppm,1-Propanol
5,0.423,0.816,0.36,0.543,400ppm,Ethanol
6,0.433,0.864,0.36,0.552,400ppm,Methanol
7,0.429,0.833,0.358,0.542,400ppm,Methanol
8,0.428,0.858,0.355,0.549,400ppm,1-Butanol
9,0.43,0.829,0.361,0.55,400ppm,1-Butanol
10,0.437,0.849,0.362,0.55,400ppm,Methanol
11,0.422,0.837,0.364,0.553,400ppm,Methanol
12,0.44,0.835,0.356,0.549,400ppm,1-Propanol
13,0.423,0.822,0.36,0.547,400ppm,1-Propanol
14,0.44,0.842,0.364,0.549,400ppm,Methanol
15,0.43,0.826,0.363,0.55,400ppm,Methanol
16,0.431,0.852,0.359,0.548,400ppm,Methanol
17,0.423,0.859,0.365,0.542,400ppm,1-Propanol
18,0.427,0.857,0.357,0.542,400ppm,Methanol
19,0.423,0.864,0.364,0.543,400ppm,Methanol
20,0.43,0.855,0.364,0.55,400ppm,Methanol
21,0.423,0.83,0.359,0.543,400ppm,Methanol
22,0.439,0.854,0.363,0.542,400ppm,Methanol
23,0.435,0.865,0.357,0.546,400ppm,Methanol
24,0.428,0.848,0.355,0.554,400ppm,Methanol
25,0.44,0.855,0.357,0.544,400ppm,Methanol
26,0.423,0.847,0.365,0.55,400ppm,Methanol
27,0.426,0.833,0.356,0.555,400ppm,Methanol
28,0.422,0.865,0.361,0.547,400ppm,Methanol
29,0.436,0.818,0.365,0.551,400ppm,Methanol
30,0.422,0.848,0.365,0.545,400ppm,Methanol
31,0.432,0.836,0.359,0.546,400ppm,Methanol
32,0.439,0.847,0.359,0.55,400ppm,Methanol
33,0.436,0.855,0.361,0.551,400ppm,Methanol
34,0.424,0.86,0.359,0.548,400ppm,Methanol
35,0.433,0.864,0.361,0.554,400ppm,Methanol
36,0.424,0.829,0.361,0.554,400ppm,Methanol
37,0.423,0.841,0.365,0.545,400ppm,Methanol
38,0.433,0.845,0.363,0.548,400ppm,Methanol
39,0.439,0.837,0.357,0.551,400ppm,Methanol
40,0.437,0.818,0.364,0.543,400ppm,Methanol
41,0.427,0.827,0.365,0.552,400ppm,Methanol
42,0.438,0.832,0.356,0.554,400ppm,Methanol
43,0.429,0.824,0.36,0.545,400ppm,Methanol
44,0.433,0.848,0.356,0.553,400ppm,Methanol
45,0.437,0.854,0.357,0.55,400ppm,Methanol
46,0.431,0.834,0.357,0.552,400ppm,Methanol
47,0.43,0.832,0.365,0.553,400ppm,Methanol
48,0.437,0.844,0.355,0.548,400ppm,Methanol
49,0.438,0.861,0.355,0.548,400ppm,Methanol
50,0.424,0.828,0.364,0.547,400ppm,Methanol
51,0.439,0.816,0.363,0.554,400ppm,Methanol
52,0.439,0.848,0.363,0.551,400ppm,Methanol
53,0.424,0.85,0.361,0.548,400ppm,Methanol
54,0.426,0.858,0.356,0.546,400ppm,Methanol
55,0.437,0.835,0.364,0.555,400ppm,Methanol
56,0.437,0.834,0.359,0.555,400ppm,Methanol
57,0.43,0.818,0.357,0.543,400ppm,Methanol
58,0.437,0.846,0.361,0.548,400ppm,Methanol
59,0.428,0.858,0.361,0.549,400ppm,Methanol
60,0.425,0.816,0.365,0.544,400ppm,Methanol
61,0.44,0.855,0.355,0.544,400ppm,Methanol
62,0.436,0.853,0.356,0.55,400ppm,Methanol
63,0.43,0.822,0.36,0.545,400ppm,Methanol
64,0.436,0.815,0.36,0.553,400ppm,Methanol
65,0.43,0.859,0.364,0.554,400ppm,Methanol
66,0.438,0.843,0.358,0.544,400ppm,Methanol
67,0.436,0.841,0.358,0.546,400ppm,Methanol
68,0.438,0.825,0.359,0.551,400ppm,Methanol
69,0.426,0.833,0.358,0.543,400ppm,Methanol
70,0.43,0.857,0.357,0.543,400ppm,Methanol
71,0.425,0.842,0.356,0.546,400ppm,Methanol
72,0.437,0.841,0.358,0.546,400ppm,Methanol
